                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
case id	qb1c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200993	because i dont think just illegally entering the country is not a reason for prison need more prison for more seroius things                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
200995	just send him home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
200996	just send him back to where he came from-p-he hasn't committeda crime other thatn come here illegally                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201000	because it costs us more than 400 dollars to put him into prison                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201001	i dont think thats good enough to be sent to prison                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201005	he hadnt used them he learned a lesson being caught                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201006	because it's a crime but it's a non-violent crime he should have to do community service or somthing else                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201007	if his only crime is to try to come into this country a lot of our ancestors shold have gone to prison our prisons woyuld be full`1 maybe we shoudl focus more on patroling our borders                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201009	he should be just deported not imprison                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201010	"just send him back to his country thats all, he's just trying to get better thats all if he didn't do nothing else just send him home"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201011	i dont see why he should be in prison he has a clean reconrd just send him back                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201012	i think he should be sent back to his country -p-its terrible how the illegal immigrants get he foodstamps and everythign when theyre not even citizens                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201013	its sounds like hes a firs time offender-p-it just soudns like its his first offense                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201017	he should be sent back                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201018	he has had no other prior conviction                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201021	he should have chance to make a descent living                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201022	i dont think if he had no previous crimes then he should not spend time in prison                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201023	this is his first offense he should be given a chance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201026	he should be deported                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201029	b/c thats not worth going to prison over.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201030	send him back to his own country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201031	"bcasue if he hasn't commited a crime besides entering th us, he should be heard. he may have a good reason"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
201033	it doens' seem liek something he should be imprisioned for.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201035	because it was his first offense and it did not endanger or harm anyone. and who knows he might have been escaping something awful                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201036	he shoudl be sent to the country he came from                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201040	first offense                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201041	first offense was not a big crime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201042	i think everybody deserves the right to be free and in other counties there isn't much-p- he wasn't harming anybody                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201043	I think $400 dollars is a minor offense and he has no priors. Perhaps he should do community service and pay a fine(with real money.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201044	he should be diverted to some rehabilitation resource                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201045	imprisonment might be harsher than deportation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201047	That's Petty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
201048	he should be sent back to his country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201051	deported                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
201052	"He legally entered the country,he probably trying to find a better opportunity for himself it doesn't mean that he bad person or a criminal. We already have enough criminals and he is trying to do better for himself."                                                                                                                                                                                                                                                                                                                                                                                                                                
201056	He is just trying to make a little bit of money.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201060	i'd send him back to wherever he came from                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201061	he is from a different country and he is supposed to be able to come here it is a free country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201063	he has never had prison time before people come here for different reasons things are greener on the other side it is like a speed ing in a car crime it is not serious serving time here is just a waste of tax payers money we should sesnd him back home                                                                                                                                                                                                                                                                                                                                                                                               
201064	because he should be sent back to his country find out why he left his country and help him get legal rights in the united states                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201069	"Counterfeiting can be a harmful crime, but only when it is been  perpetrated on a much higher level.  That is such a small scale, it is better off on letting him do community service or a fine.  Their is no since in paying to keeping him out of society when he is not a danger to anyone."                                                                                                                                                                                                                                                                                                                                                         
201071	deported                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
201072	because hes not a trouble maker kind of person-p-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201073	For some reason he want to come to this country and I would deport him back to his country . And should put jail it cost our government money to that.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201075	Because the economy depends on his cheap labor.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201078	He didn't commit a crime.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201079	He should work to get himself out of that problem instead of being sent to prison.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201080	"They should just send him back to his country, he did not commit a crime."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201081	i think he should be sebt back-p-because he could be taking our jobs-p-why should we put him in jail when we're gonna have to pay for it-p-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201083	"first offense, minimum harm done, probably some type of probation or rehabilitation but not prison is needed-p-"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201084	It was not a violent crime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201086	He is a first offender.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201087	i think they should consider sending him back-p-it would be the lesser between the two evils-p-i don't prison would dso him any good-p-he's not a criminal-p-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201089	really hadnt done anything wrong yet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201090	b/c he has no prior convictions and hes probably trying to make a better life for himself                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201092	its not a serious crime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201096	It is first offense he should be put on probation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201097	give them a break there are so many bad crimes out there and they put the emphasis on these people                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201098	he should be sent back to his counrty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201099	He should be sent back to where he came from and if it's his third time. it whould be dealt with properly.  I believe in the 3 strike rule.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201100	It was first defense.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201103	its a free country they shouldnt have borders to block people from comming in.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201104	Its not a bigger crime to me he is just trying to live better.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201107	because he should be sent back                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201108	he should be returned to his country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201110	i would think that community service would cover it it's not a violent crime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
201111	because it is his first offense. i think he should be given sonme sort of punishment but not prision. maybe fine or house arest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201113	send him back                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201114	i would probably just send him back home i wouldnt give him the chance to gain legal citizen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
201115	well he hasnt proven to be dangerous in society as of his 28yrs he deserves a chance he probably just wanted to live in a more democratic soceity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201116	deported                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
