                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
case id	qb1c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200386	this person should be executed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200388	bedepotred                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200391	because he hasn't comitted a crime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
200396	hr e shpuld be deported again                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200397	just coming here illegally is not a reason to go to prison                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200406	because he didnt commit a crime here                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
200407	He should be deported                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200414	"I don't understand about the illegal entering the country-why anybody can't enter the country. If they were entering to do harm-that's one thing. If they are entering to live here, I don't understand why they can't go ahead and live here. Of course there are lawyers who will give you and urgumen     t"                                                                                                                                                                                                                                                                                                                                          
200427	i think just return him to his place (country)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200432	he should be sent to his own country--our prisons are already too crowded                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200441	he needs to be sent back home im not paying for him again                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200462	b/c its not his fault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200466	he should be sent back to his country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200468	If his crime was illegally entering country and that would be enough to sent him back to his country.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200471	he should be sent back where he was he already served time he aint done nothing in this country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
200473	he sent back to his country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
